"","ld","smd","stlogoddse"
"mr",3.83683912908467e-05,0.147397524336116,0.176188192960877
"human",-9.41057639619651e-05,-0.145167592248024,-0.178180272495763
"govern",0.000113399587906675,0.205041852382253,0.220891517224473
"unit",7.38386264236994e-05,0.125727040780013,0.143283087219902
"state",-0.000101059639038759,-0.145998026197576,-0.230230725285551
"year",-4.39882652277452e-05,-0.0526895974139166,-0.0877104520821992
"nation",0.00020206991347043,0.297847124670735,0.378808708031422
"offici",-8.03258611593168e-05,-0.113358720382071,-0.218863905498637
"report",-2.79966530436266e-06,-0.00447014690339749,-0.0342230937309797
"peopl",0.000103056777668852,0.126951765372967,0.144412171527477
"militari",-0.000263504314181194,-0.346711883028704,-0.743159293831191
"war",-2.6299169155179e-05,-0.0325640489322799,-0.0772727198894632
"kill",0.000147970073762011,0.211965538259176,0.314863940884855
"presid",0.000164571211538906,0.172477997290995,0.196834624937442
"forc",-0.00012486775515534,-0.123477129713093,-0.215055521288024
"intern",0.000220280553093869,0.221482263216041,0.261006559583104
"group",4.93959884602241e-05,0.0512850662022044,0.0494578539953709
"countri",0.00025805432837926,0.257376946227901,0.30605388848729
"court",0.000137852532971996,0.205335206210133,0.3715175995627
"polit",-3.59969182889957e-05,-0.0341828206860224,-0.0782580697791085
"crime",0.000122268163922293,0.121812807692506,0.164028170520082
"prison",-0.000106726773758193,-0.138870718190007,-0.412532681647569
"gener",-0.00016056252021265,-0.17302875700253,-0.449378778066488
"leader",8.8879242129145e-05,0.0702463982232035,0.0819389441423705
"case",-3.76686052653747e-05,-0.0361420710485172,-0.0982456151667938
"time",-0.000143008514723069,-0.0982872374065027,-0.180481334625963
"trial",2.38010545140573e-05,0.0250412721679161,0.0324990137354007
"offic",-0.000292967998105054,-0.225364610082082,-0.50081382636743
"charg",0.000165080792360509,0.12472950745059,0.172550441045877
"polic",-0.000109687495038074,-0.114421131440328,-0.337252307942811
"abus",-0.000220295643619184,-0.148268034599086,-0.292973722603131
"law",-0.000106263081708957,-0.0921745314377093,-0.235751192800596
"includ",-0.000103785300704653,-0.0580133920224309,-0.106870290780213
"call",-1.74420182870402e-05,-0.0102586216311612,-0.0399105509581607
"secur",-2.49719316681421e-05,-0.0175511300602705,-0.0565080404815189
"month",0.00012684484699433,0.0766661573882481,0.0877706719424404
"member",0.000127020453984007,0.0862873403375624,0.116030227867429
"investig",5.60330044426361e-06,0.00517528335220221,-0.0127086062220259
"today",-9.19985921828293e-05,-0.0600369116017289,-0.130168895798951
"china",-0.000231388858874511,-0.29690779443916,-2.39769854398046
"tortur",-0.000101869260310902,-0.0810427149057017,-0.205482981773065
"death",-7.35486342438498e-05,-0.0557350880266812,-0.14008938187857
"arrest",1.27248082883866e-05,0.00979886185199391,-0.00436166169459115
"day",3.5200085098259e-05,0.0235218044857614,0.0173460808338786
"X000",0.000211126200325259,0.140966214585086,0.210638089946859
"week",-0.000163931598144592,-0.0861188326450802,-0.156334069310204
"armi",-4.91634956854671e-05,-0.0408908049824919,-0.124878261802629
"administr",-0.000257855285704725,-0.19018928891015,-0.532599656671226
"world",4.88140695011685e-05,0.0306196128620119,0.032096062551417
"organ",3.58084983233069e-05,0.0212076742139918,0.0138053166668718
"support",8.39715313498493e-05,0.048499138439274,0.0594596006795649
"accus",0.000404658657705703,0.264584385573516,0.42530503842363
"tribun",0.000138240146950163,0.158463678005079,0.450353162926336
