"","ld","smd","stlogoddse"
"mr",-4.90154766536028e-05,-0.230325334978201,-0.235074221412306
"human",0.000177374853361532,0.440025214799524,0.291810457043468
"govern",1.97694602268045e-05,0.0453946983419238,0.0253438034659854
"unit",2.48195244218171e-05,0.054395885505966,0.0369159331896244
"state",8.14872069512766e-05,0.181306899611918,0.153110388759251
"year",0.000123283807539879,0.212917074005949,0.148575194884381
"nation",5.45100062709035e-05,0.10047936678926,0.0831406202555807
"offici",-1.07093558913036e-05,-0.0213765213122565,-0.0347784563449188
"report",3.8832202267135e-05,0.0837199588735891,0.083395473459479
"peopl",8.84338068514501e-05,0.150997777770564,0.128036400172729
"militari",-2.84552575509454e-05,-0.0634840250057378,-0.0953955709665553
"war",-0.000261970228718672,-0.444330975163629,-0.583308452671127
"kill",-0.000143058110338386,-0.253966813164212,-0.331874415785008
"presid",-0.000100007628735844,-0.143666189168971,-0.154647329673116
"forc",-0.000134437830372311,-0.176457246023119,-0.184401573366102
"intern",5.80353057445737e-05,0.0759027156859795,0.0569528001350516
"group",3.47416875013765e-06,0.00488567382189555,-0.00638282065719176
"countri",0.000110612341330904,0.149143513954872,0.126387151343733
"court",-0.000253546014702777,-0.417055407463506,-0.673631917747001
"polit",0.000157087639970682,0.226036807645907,0.219355683112678
"crime",-0.000418032021658646,-0.50793781875699,-0.670353795633047
"prison",6.66557278831326e-05,0.142195483468911,0.236119706122122
"gener",-0.000185758545575762,-0.276727874391465,-0.472378911460816
"leader",0.000145989159089725,0.168635021518376,0.168317349829525
"case",-0.000153030396114907,-0.191730697779325,-0.276004970232988
"time",8.97264985879264e-06,0.00873859179511902,-0.00204883861486245
"trial",-9.83673043548935e-05,-0.136507454427459,-0.236746536188437
"offic",-0.000306753927855698,-0.332137573890376,-0.49011776346052
"charg",-0.000349229893466553,-0.326986250651943,-0.407157168480323
"polic",6.44995258588596e-08,0.000110911952145124,-0.0106997141076281
"abus",0.000188537412364878,0.192369521185856,0.20216277771641
"law",-2.04705011528372e-05,-0.0248794822870951,-0.0470408089393848
"includ",3.20227593866523e-05,0.0248860249149629,0.0119843041697936
"call",3.304557565346e-05,0.0274591995780473,0.0163147456153944
"secur",-0.000116460010029026,-0.11722675257174,-0.165430844654815
"month",7.60391083374213e-05,0.0620357086888069,0.0505463169824795
"member",-0.000143903519928298,-0.128439204916466,-0.161613267805353
"investig",-0.000274650753803618,-0.3098882955201,-0.549525829693057
"today",3.89929681273177e-05,0.0365281960662899,0.0314945311129564
"china",0.000272280389518678,0.952691877328787,2.97350571121767
"tortur",4.50936734787753e-06,0.00507504628921683,-0.00356177382007496
"death",-0.000119552196103015,-0.126081174044893,-0.191910412626353
"arrest",4.81227248392475e-07,0.000511741801123888,-0.0100273499784475
"day",-0.000224503756123227,-0.186192475188475,-0.234238092177243
"X000",-0.000161499898715634,-0.13394248090536,-0.169131047635766
"week",1.65861641878784e-05,0.0125873147147589,0.00205624767222797
"armi",-0.000188659248840253,-0.21598992264857,-0.40996007131424
"administr",0.00013752897100691,0.16054745592568,0.235452224899567
"world",0.000260241902503988,0.236467952040806,0.27375952610969
"organ",4.0182353243145e-05,0.0342602104968222,0.032663864495309
