"","ld","smd","stlogoddse"
"mr",2.91779416010539e-05,0.167693659520417,0.146972531229231
"human",-0.000229684898866121,-0.515727998555925,-0.384682526687054
"govern",-0.000250116699674725,-0.546392922882569,-0.47291297678251
"unit",1.94250219062556e-05,0.0462021112390603,0.0305905851874581
"state",-8.5921706472077e-05,-0.18895846174743,-0.184560666658577
"year",-0.00013929491293509,-0.238429829407988,-0.193131475305002
"nation",5.36335857751744e-05,0.107220266843171,0.0894273154557707
"offici",-2.50311799427379e-05,-0.0523291053651014,-0.0650671560287998
"report",-4.98883482680285e-05,-0.116240544941998,-0.150965465261825
"peopl",-2.74493793561794e-05,-0.0497793934543767,-0.0575248113143657
"militari",-0.000224580975268063,-0.440624946078577,-0.566307311050158
"war",0.000373334603876885,0.840321216646479,0.804286660296153
"kill",-2.77929751830711e-05,-0.0553903663593139,-0.0743966177993931
"presid",-6.13969380349827e-05,-0.0902965807030705,-0.091634190945756
"forc",9.59373358991545e-05,0.148242018566333,0.128746635391538
"intern",8.85601156505623e-05,0.129992041967592,0.107390395028681
"group",-0.000227434454649699,-0.332033405615619,-0.36760132573535
"countri",-0.000258418605705651,-0.337108998756179,-0.334557215867829
"court",2.91907174300892e-05,0.05936740420954,0.0693830337313858
"polit",-0.000166872928804098,-0.230660904546293,-0.254455899223584
"crime",0.000438453957885839,0.718995156899431,0.697212601936909
"prison",-0.000119063650686677,-0.219162538460101,-0.386200706910507
"gener",-2.34612781965053e-05,-0.0450399390655697,-0.0850977440044508
"leader",6.40379845515546e-05,0.0713738985690791,0.0597075487593011
"case",-0.000109009786025306,-0.141920227156039,-0.188040667714201
"time",7.67509852246911e-05,0.0848681901040477,0.0773465737744803
"trial",8.71991218597492e-05,0.138099761262724,0.192679604988159
"offic",-0.000193034453971419,-0.229885425274861,-0.317274913948999
"charg",1.74287766827322e-05,0.0184058001011462,0.00982924587670285
"polic",-2.89572359452179e-05,-0.0441267514208865,-0.0800056303365381
"abus",-0.000607329632862878,-0.567488500188798,-0.764203535545718
"law",-0.000139084838014251,-0.170265070770243,-0.254115940680611
"includ",-3.76995720012397e-05,-0.0320872136262456,-0.0394301047335891
"call",-5.21785390492811e-05,-0.0428721722870578,-0.0485820133101115
"secur",-2.00507561996068e-05,-0.0212518914636752,-0.0350134537150542
"month",-0.000230396244106932,-0.185685511357552,-0.189768355267328
"member",-0.000336209339030512,-0.294526670173275,-0.338332946062858
"investig",-6.5992540521262e-05,-0.0890732442125679,-0.152879178932848
"today",0.00020649243534298,0.219467705063099,0.235148053684802
"china",-0.00021429266708604,-0.408750133264265,-1.74546479955544
"tortur",-0.000405404235257753,-0.431295445147119,-0.697292228150231
"death",-0.000371194126090758,-0.379030630152071,-0.55927295095154
"arrest",0.0001040270070778,0.133507131522513,0.183530813499052
"day",0.000126612250912263,0.127230974290085,0.137004726881036
"X000",0.000154679562080785,0.157035006697261,0.172889607372573
"week",-6.24820953205748e-05,-0.0509914228930635,-0.0612672191533784
"armi",-0.000129133258196289,-0.150271005854172,-0.249039282024873
"administr",-0.000204983054517138,-0.226720563697262,-0.386569719178713
"world",2.20494110223214e-05,0.0220239453696585,0.019714791433722
"organ",-6.09252523429522e-05,-0.0551351091359571,-0.0793377870149271
"support",-0.000321930457651582,-0.25016923914071,-0.307275206711679
"accus",3.80459985275945e-05,0.0317315812603929,0.0267694287210151
"tribun",0.000367308803553788,0.653411916871456,1.17571127183911
"judg",5.71980198924037e-05,0.0811014500403665,0.147741624714087
"civilian",-2.7787836465266e-06,-0.00299011107829371,-0.0139552029067948
"rule",-0.00030321238419319,-0.245248110693477,-0.342740172618436
"power",-0.000237114787118574,-0.188193822665101,-0.25777399975888
"issu",-0.000206721350688086,-0.149672093611274,-0.185717585876134
"made",-3.56502508983453e-05,-0.024061923083534,-0.0343310325954058
"make",-6.05545230223511e-05,-0.0430774895948677,-0.0571320846196053
"recent",-0.000256314916224844,-0.175274028498846,-0.208062915943553
"critic",-0.000330519675253439,-0.241671620565215,-0.317504986465685
"lawyer",-3.66974115906611e-06,-0.00383472576130491,-0.0154321268941304
"work",-4.62588292189798e-06,-0.00405844029810592,-0.0147677609996772
"attack",1.66605255969729e-05,0.0164095247785943,0.0161924288748909
"violat",-0.000336609785019002,-0.226832977476801,-0.277837741796136
"parti",-8.21501286175215e-05,-0.0872599836700973,-0.165553289552638
"author",-7.73632246997121e-07,-0.000579130523881493,-0.00983532925201031
"soldier",-4.40907868115433e-05,-0.0523409681783311,-0.112083316881385
"end",-2.63239264863501e-05,-0.0174772445508039,-0.0278161997930825
"minist",2.82755434973807e-05,0.0235463453017769,0.02241765566865
"men",0.000191322552575461,0.252307498183921,0.458586712030231
"foreign",-1.47233997927978e-05,-0.0119968489285219,-0.0254307716140753
"genocid",0.000161308521274676,0.20605783821328,0.377288726942645
"respons",-0.000109982388882741,-0.0718062336719869,-0.0900715573393355
