"","ld","smd","stlogoddse"
"mr",-1.91682247889047e-05,-0.103103060733309,-0.0814612834450539
"human",0.00023285071208631,0.62160301658551,0.308524824730922
"govern",0.000177712619134424,0.456423572505587,0.255603151444031
"unit",1.68177053466183e-05,0.0416256144173646,0.0216604472078401
"state",0.000157872587242014,0.388961683024723,0.252394075770178
"year",0.000146983294647771,0.277660903487241,0.149502771399224
"nation",-0.000127115763347531,-0.247431456334173,-0.19497425351986
"offici",6.41882580923854e-05,0.153019102095951,0.122193838084186
"report",4.88361641122724e-05,0.121944823269266,0.101865720265662
"peopl",-5.6789495634345e-05,-0.100736262306101,-0.0787901278248765
"militari",0.000341205958971269,0.914032131150364,0.759897480234038
"war",-0.000325370724000018,-0.574149896416691,-0.527609495866493
"kill",8.23851554256932e-05,0.178088047122886,0.149207850707412
"presid",0.000369601779017771,0.611670381430739,0.390735870793102
"forc",0.000200158448745246,0.343440401103239,0.250449156011628
"intern",-0.000294941093728982,-0.410956401621723,-0.320601338464646
"group",0.000213330525003408,0.370611531404314,0.276574597998535
"countri",0.000115601133297047,0.16360014293806,0.102655533595038
"court",-8.52457257364443e-05,-0.170014503874502,-0.192675265130172
"polit",0.000230714586534577,0.373121216949418,0.281017795560721
"crime",-0.000401659790214933,-0.550640364388759,-0.535802637483475
"prison",-1.91173934482096e-05,-0.0427960425138631,-0.0669033724653181
"gener",0.000227391921295534,0.512294774087159,0.601074000437006
"leader",-3.39391784505761e-05,-0.0398532357446311,-0.0388498627171014
"case",8.86126435072706e-05,0.134372089001948,0.125381753141016
"time",-7.96121530754576e-05,-0.0850846950089859,-0.0741401732673791
"trial",-0.000244080532599002,-0.353591426277603,-0.470055824912644
"offic",0.000416852852117924,0.678269873379916,0.66937314332137
"charg",2.38397182033968e-05,0.0269658137939814,0.0161034863232512
"polic",0.000127623509937857,0.252778848863759,0.335081479654866
"abus",0.000475604556325352,0.57000491521094,0.462684985264836
"law",1.34107190424089e-05,0.0183293910833639,0.0132840258374937
"includ",-0.000150958811395072,-0.129087675374153,-0.100224972130382
"call",-9.65772792801136e-05,-0.083699146650769,-0.0679991660661388
"secur",-2.3393865687085e-05,-0.0260236053623977,-0.03149867770558
"month",0.000132578036558564,0.121923909957968,0.0853128909996946
"member",0.000198970784505955,0.206587881258109,0.164509151666794
"investig",0.000161264741285605,0.229581178250584,0.247774244737139
"today",8.80229151239211e-05,0.0908434155597534,0.0715697810233713
"china",-0.000241114215112263,-0.494837240668923,-2.1227691059556
"tortur",0.000256876131729737,0.353768440819803,0.365740177247331
"death",0.000232910064566472,0.304033337679812,0.302807206375704
"arrest",-4.73849169556374e-05,-0.0561239402617125,-0.0685717261923562
"day",-8.79245379938539e-05,-0.0828836424223454,-0.0798119093508089
"X000",6.09908484031025e-06,0.00587427607640434,-0.00154066017947684
"week",0.000116053986664168,0.100954131567023,0.0718627944676396
"armi",0.000321388781562926,0.503205313418639,0.60620102981563
"administr",0.000237242253811813,0.331860208446671,0.392042831747423
"world",-0.000598415388253553,-0.534599272480852,-0.629368135160488
"organ",0.000199544557699041,0.191314867235559,0.170668313064551
"support",0.000383023474771683,0.359835798076645,0.306526287935361
"accus",8.47372454787307e-05,0.0731179769666524,0.0574881102631073
"tribun",-0.000465603242426466,-0.599444332522921,-1.6313579401188
"judg",-4.17458013712321e-05,-0.0570292357812549,-0.0942791166414271
"civilian",0.000272084814409082,0.315227913130325,0.348667712494105
"rule",0.000238164809097423,0.225585138600459,0.214265811100848
"power",0.000148288721666774,0.126776177745219,0.112146945716868
"issu",-0.000150270514554073,-0.114523906951317,-0.111211165786744
