"","ld","smd","stlogoddse"
"mr",-9.13249372581406e-06,-0.0582356869848996,-0.0535063750785953
"human",-0.000181413395152212,-0.495957957259686,-0.310340269906819
"govern",-2.76368553880434e-05,-0.0792156364813465,-0.0609713572152631
"unit",-3.77476467992239e-05,-0.100398362164828,-0.0807560181901123
"state",-6.28029155501748e-05,-0.162087549226849,-0.130345208050034
"year",-0.000135265508496737,-0.274967859444697,-0.185824531991381
"nation",-6.47788065277463e-05,-0.142732223197977,-0.119635635441689
"offici",3.796629277056e-05,0.0997902342772896,0.0852812651197358
"report",2.15867889700222e-05,0.0596810862587664,0.0520004132981234
"peopl",-4.90386208012596e-07,-0.000983348876424979,-0.00696746881267684
"militari",-6.42581628615739e-05,-0.17505965386501,-0.197530297195557
"war",-6.73787177572434e-05,-0.15054026050486,-0.14626796024166
"kill",2.76227976544133e-05,0.0650252018920376,0.056053418001797
"presid",-0.000228656178953335,-0.380167799191351,-0.306591083411013
"forc",-6.73287041965178e-05,-0.114289798891928,-0.0980705430393978
"intern",2.43140332471649e-05,0.0418396443873996,0.0269951881075524
"group",-2.98385250929478e-06,-0.00523041778260084,-0.010462910892739
"countri",-0.000157802321255682,-0.239445519084973,-0.188435857689589
"court",-4.27225833853076e-06,-0.010430196430316,-0.0186639202363916
"polit",-0.000133043083117349,-0.217048311083766,-0.196926214993647
"crime",-0.000154388609192623,-0.267842531891586,-0.280228548543521
"prison",7.39183593243327e-05,0.188572217960745,0.257903396848218
"gener",-0.000115335404367066,-0.237866752726668,-0.341006719727644
"leader",-9.64792411781898e-05,-0.126276800304734,-0.116858634093456
"case",-3.18673244638553e-06,-0.00560547679176066,-0.0125109684920109
"time",2.75955883388493e-05,0.0358298490740883,0.0259825858768936
"trial",4.32015084929912e-05,0.0867044994914394,0.115196736675225
"offic",-0.000107552042344299,-0.164226657207125,-0.199389756422054
"charg",-4.02693823403438e-06,-0.00553413862249318,-0.0115433728634069
"polic",-9.02022009891815e-05,-0.161761192878639,-0.236448584852079
"abus",-5.41632167979584e-05,-0.0739376318790403,-0.0859743104301101
"law",2.25230287878225e-05,0.0356826337586645,0.0375042359592259
"includ",0.000161871721880458,0.165296692741857,0.122056612708193
"call",0.000113790213669583,0.114567452715703,0.0833034561212433
"secur",0.000217014185811996,0.281814390873354,0.270957355863879
"month",4.97136675720618e-06,0.00489883939067242,-0.00197158765835054
"member",8.52779877368811e-05,0.0950773482022311,0.0788104848021878
"investig",5.86224756864248e-05,0.0974253369448482,0.122426722648803
"today",-0.000395689810661438,-0.426447600897274,-0.442910673402711
"china",-0.000192310221628767,-0.444505227071619,-1.38121594552943
"tortur",8.16629879078064e-06,0.0115540428623572,0.00773113868634731
"death",0.000119215049592308,0.173776175912573,0.195010670458931
"arrest",-0.000130838411492239,-0.170393434007249,-0.212396071894714
"day",9.82554381475493e-05,0.113176180776228,0.104759062511197
"X000",-0.000129795240117925,-0.136506668758598,-0.137962593426282
"week",5.65162924118648e-05,0.0530443248193853,0.0377578115332525
"armi",-9.14323371250215e-05,-0.135167224605323,-0.198666449363516
"administr",-3.26428997798515e-05,-0.0475336653282988,-0.0727698649531146
"world",9.62445804021598e-05,0.106387320133827,0.104666051596937
"organ",-0.00013112615219893,-0.132284299798769,-0.143886657221951
"support",-5.10051272805017e-05,-0.0480735799515746,-0.0515347994243454
"accus",-0.000141502252381864,-0.132526600939174,-0.13508231476651
"tribun",-0.000107085535423385,-0.191043700574344,-0.398047862875329
"judg",3.68637340206012e-05,0.0648276188351192,0.109832410042117
"civilian",3.66114286538446e-05,0.0493768754801824,0.0634622164525013
"rule",-0.000184458795154254,-0.181026344005543,-0.209391645577181
"power",-0.000144649643440371,-0.135907568071036,-0.152754393527071
"issu",-2.28049687277232e-05,-0.0196749852017201,-0.0246390173511731
"made",-7.61995118993564e-05,-0.0607619603399578,-0.0605414216439258
"make",6.76993988022832e-05,0.0570452804098544,0.0471334741168845
"recent",-0.000267332030440538,-0.214435181567166,-0.210578969483385
"critic",5.56221554057701e-05,0.0524013226976272,0.0491887669505554
"lawyer",7.49639021697686e-05,0.0988736549172429,0.13616119424314
"work",-2.93763562018054e-05,-0.0288719924734451,-0.0383706614916042
"attack",0.000400332580674052,0.503631742398662,0.623578794873256
"violat",-0.000222899685736916,-0.173652396294919,-0.169843654827426
"parti",-2.08297857270407e-05,-0.0287925135598663,-0.0523598488809668
"author",0.000245248413545708,0.249249607101766,0.267240895665107
"soldier",0.000155903604972431,0.259556420792896,0.442013419443748
"end",5.44629437364499e-06,0.00444813230780228,-0.00147794438718739
"minist",0.000104082425107272,0.102617872603663,0.109994729581509
"men",7.9394526710727e-05,0.102098449847313,0.144408859509647
"foreign",-8.57152798902028e-05,-0.0793436170981799,-0.0966535615418662
"genocid",0.000141026982991079,0.210057813902882,0.341466190655523
"respons",-1.27935940078053e-05,-0.0101328709912983,-0.0154511803971526
"iraqi",0.000310102914906909,0.872446534238736,3.20941583427685
"aid",-7.44479513084553e-05,-0.0859482030218165,-0.134351939055734
"part",-0.000193208087395359,-0.139948162950155,-0.138552613631741
"serb",-0.000403343725783936,-0.593712220545548,-3.39716921286085
"public",4.29388268185756e-05,0.037834698500521,0.0364233067575039
"order",-8.44111097139465e-05,-0.0716492851688753,-0.0861556416459329
"arm",-0.000153262852926791,-0.142607592591427,-0.187316108489111
"rebel",-0.000134375574188678,-0.198036316551494,-0.443225048260761
"continu",-0.000103632698649611,-0.0758288005616915,-0.0799645700900306
"back",6.59303623146133e-05,0.0550847763246498,0.0547475990493633
"live",9.11659568325562e-07,0.000747197887571074,-0.00473238746773118
"elect",-0.000111599285719041,-0.124272447928398,-0.205936988666996
"execut",0.000206446061314536,0.267124373792033,0.418553860942388
"told",0.000165365421205618,0.152038153890457,0.180622328605215
"command",7.11442181020139e-05,0.0785312322257256,0.114047101161044
"peac",9.35718622271064e-05,0.0946167123105801,0.127700620618402
"victim",-5.40624886503762e-05,-0.0502474327527139,-0.0748325484158859
"commit",-0.000312126824488284,-0.218688154511484,-0.245642906606382
"hussein",0.000227054659495381,0.686980072198717,3.23425170278986
"long",8.72213370964367e-06,0.00605819356056339,0.000677577333345206
"commiss",-0.000178585786067464,-0.206503918768899,-0.402478374228317
"million",-3.58643004078788e-05,-0.0297313373423919,-0.042128429810928
"meet",-0.000150017676283547,-0.137915317690481,-0.203863399183537
"justic",-1.77797972872999e-05,-0.0166567853300193,-0.0293845337582974
"milosev",-0.000255698322954192,-0.413273856649928,-2.15205456822312
"polici",-0.000218859905138598,-0.182399288332375,-0.256122501709798
"face",0.0001181959893893,0.0811502803851474,0.0777708697077737
"women",7.65669470957137e-05,0.121751570871327,0.270923684653711
"hous",-6.41799403094214e-05,-0.0588607210334425,-0.0910683543213281
"watch",1.30823384788551e-05,0.0118583635480897,0.0113153138732587
"amnesti",-0.000169848067944331,-0.176495186215137,-0.324206165673887
"violenc",0.00012845558073241,0.11028201455994,0.138904645761145
"prosecutor",-8.73753520333672e-05,-0.0896227244082276,-0.160526151918978
"evid",7.94597092323806e-05,0.0638469865778439,0.0756355572428063
"releas",-3.72380187763552e-05,-0.032300937671758,-0.0512682592466085
"found",4.3948164052944e-05,0.0316255692251978,0.0310604270528728
"famili",0.000177071796610583,0.166839984672727,0.233196668997191
"depart",-5.08243057009829e-05,-0.0494185428941258,-0.0854976510900927
"interview",7.02627697418759e-05,0.0571400062498205,0.0690591092676463
"effort",4.93040513698748e-05,0.0333903940665977,0.0312515891917102
"base",0.000169915344978538,0.120523665052642,0.129601059554018
"crimin",1.30627180747454e-06,0.00105855566897529,-0.00395599325579833
"visit",-0.000215637220094611,-0.170510922713509,-0.245513363455815
"muslim",-0.000124201233848148,-0.144461889587352,-0.312594857269453
"union",1.28277482376648e-05,0.0131602549007457,0.0170014447737533
"remain",-0.000212856806681546,-0.137626676766875,-0.160934889747972
"soviet",-0.000147883822348829,-0.259675909325133,-1.12064073208589
"south",-0.00013200794649183,-0.153003692200361,-0.333872845487931
"defens",0.00013172689978975,0.12132432490729,0.173061810486861
"chines",-0.00038174289129668,-0.475250492920358,-1.99357737115632
"home",0.000127952219202027,0.107694201718399,0.141258702329071
"troop",0.000129754973272065,0.124196533400903,0.184753447201003
"serbian",-0.000467224296963838,-0.555231912282123,-3.64091717077787
"plan",-1.37739421250259e-05,-0.011147115176438,-0.020741801606194
"ethnic",-0.000328862127114923,-0.286684264746442,-0.507075016699231
"ms",-2.64066603682389e-05,-0.0349235764244302,-0.0864807415413643
"campaign",-9.87249198802667e-05,-0.0745229100718758,-0.104819003673949
"diplomat",-6.24109475662209e-05,-0.0561463890164668,-0.0964993243801829
"question",0.000188139070411787,0.139503922896941,0.168268831873444
"villag",0.000154262405708349,0.186370066805751,0.356795431472484
"murder",-0.000117222027203362,-0.090512139856314,-0.13388080860665
"council",0.000317059428992966,0.383248262042662,0.699395200036878
"show",0.000242258371339326,0.188715435016536,0.240201975945801
"democrat",-0.000370178220469398,-0.269190111223864,-0.402463462857288
"involv",-0.000114968424123369,-0.0759282090572922,-0.0980279330041271
"act",-4.03154492301748e-05,-0.0287493481394415,-0.0427299627257615
"action",0.000163728003493963,0.115418213339014,0.13640904581136
"prosecut",-0.000128672356672081,-0.10861777741426,-0.180763019714942
"held",1.87136156428448e-05,0.0121055892169836,0.00894106372465573
"western",4.29899242840255e-05,0.0325987234690909,0.0394173879389177
"document",-1.11117854062082e-05,-0.0116601295934601,-0.027805973060501
"legal",-5.31405682413337e-05,-0.0416939114311643,-0.0663536196590198
"children",1.23425515437486e-05,0.0118833695899311,0.0158124063056864
"secretari",9.58120901617669e-05,0.0699837809005886,0.0870437003742606
"bosnia",-0.000599652921241631,-0.575588677777434,-2.2054830330053
"bosnian",-0.000567193595424501,-0.576520486285434,-3.06658676375498
"thousand",2.91554695234911e-05,0.0183962258892052,0.0163707704839514
"sentenc",4.96856387526665e-05,0.0501384778903128,0.0870454114124333
"region",0.000236989530261845,0.190123901963906,0.262284760548405
"control",-0.000207611029653709,-0.134147882039699,-0.178335374166597
"citi",5.76532453272558e-05,0.0515573813748971,0.0802941479716873
"return",-0.000314404929659017,-0.207836477018359,-0.290412268330573
"statement",0.0001404478475674,0.0977223361542163,0.119897052158783
"refuge",-7.0539514328719e-05,-0.0925144835215794,-0.25906111162306
"talk",-3.93931420111623e-06,-0.00280244016857593,-0.00904427277038895
"ago",-0.000188617117754895,-0.108210938291101,-0.130828949159881
"camp",-1.05569724841551e-05,-0.011712120160416,-0.030720509382564
"darfur",0.000265190107246183,0.636851443685,3.0931862616839
"number",1.7660929001045e-05,0.0127507824425612,0.0127382296602027
"die",0.000189288877902584,0.137324675876543,0.180062298132186
"hand",2.04347759100171e-05,0.0124485153761678,0.00966326052395217
"head",5.63417223932223e-05,0.0338790737055703,0.0344267597418303
"decis",-0.000175187014785639,-0.117934477542086,-0.169740422165818
"news",0.000173359116209721,0.14599977105278,0.223265166956068
"set",7.79196998392396e-06,0.00462870819781752,0.000331413321157683
"suspect",-0.000208190106284041,-0.157995721320755,-0.264197539090727
"terror",0.000193286765312364,0.151917409867524,0.219183830432593
"man",0.00022396830249382,0.17581373957378,0.25427321964316
"press",-0.000110416219813231,-0.0650728285528945,-0.0847253344616694
"put",3.43272660234381e-05,0.0191987580319357,0.0165532229046316
"left",-5.94565839538638e-05,-0.0368504831631174,-0.0522401724338896
"major",-0.000189086771528696,-0.113535902148195,-0.150463578786783
"inform",-4.24975057853734e-05,-0.0349682895470754,-0.0652206697980121
"oper",-1.42881561076912e-05,-0.01040252207637,-0.0207447821491603
"move",-0.000117611673633557,-0.0678570203932214,-0.08770921404271
"account",-1.91869647420368e-05,-0.0130564705432263,-0.0235113790578722
"european",4.45169708172792e-06,0.00418646238264845,0.00304296774492075
"guerrilla",-0.000524008297244554,-0.44773573173768,-1.19837529793105
"led",7.57560756659433e-05,0.0447893671873885,0.0489935716062866
"opposit",-7.07241431912973e-05,-0.0568968989029294,-0.102847366827295
"chief",-0.000193034173770283,-0.119773510186081,-0.167280768503871
"past",-0.000227138958212592,-0.135066975962112,-0.181835970601403
"area",8.72742278217792e-05,0.0610556489199111,0.0820162413131752
"open",-4.84841490190326e-05,-0.0270541462026676,-0.0369111284508909
"fight",-8.46097256292871e-06,-0.00555878886754577,-0.0127300853300501
"democraci",-0.000433061338968503,-0.300105985211393,-0.519326458257954
"repres",3.69715479627662e-05,0.0234642657835501,0.0259526747795313
"defend",0.000193293663668425,0.160517953111523,0.258107739672949
"X1",3.59512706332817e-05,0.024002276085877,0.028622628832714
"protect",8.84564189180054e-06,0.00543214277961999,0.00206548400002042
"bodi",3.98460803157281e-05,0.035096457759902,0.05985518270225
"high",-0.00011424397064459,-0.0697506131692524,-0.099458415926129
"wit",-0.000101780109669324,-0.0761872181639147,-0.132859481468362
"turn",-1.63412728868827e-06,-0.000931641827787737,-0.00617489518508336
"sudan",0.000395212306527053,0.717958337291549,2.71571241153659
"record",-5.97611539396252e-05,-0.0416601564018829,-0.0693417049556443
"congress",-0.000463007026292429,-0.329385200304825,-0.633616399380756
"protest",-8.10833965858209e-05,-0.0595241857684102,-0.103835135500238
"senior",0.000164563604725655,0.121548591999927,0.182969809555786
"X10",-7.92693390500496e-05,-0.0443166381679039,-0.0607560456170686
"civil",-0.000237930047370586,-0.140732297501425,-0.200804855498623
"ad",9.39091147751218e-05,0.0513092653723494,0.0562279423884087
"kosovo",-0.000349084061553069,-0.399966670655223,-2.17360401181737
"econom",-0.000584243847286137,-0.36632032696705,-0.635286873674392
"close",-0.000158534877777097,-0.0851884212445346,-0.111063074586319
"clinton",-0.000275729630150902,-0.264169158997676,-0.730214122167956
"independ",-0.000383093507644605,-0.21797932117515,-0.312794821644301
"carri",0.000147769143571493,0.0860320674153174,0.104810530957397
"problem",-3.01785538495371e-05,-0.0185564979173961,-0.0309595578189926
"york",0.00011983784439199,0.0688004884011295,0.0833424804010456
"rape",7.72172548654051e-05,0.0845839491834953,0.196865232091557
"center",0.000111330940575528,0.0860138777420303,0.142082602014119
"sign",-9.43415817185672e-05,-0.054944210577004,-0.0804709256494555
"indict",-0.000287370916031391,-0.263114744984248,-0.716795407353542
"began",-5.04351472240408e-05,-0.0277085543942369,-0.0413567458096394
"expect",-0.000159053438805243,-0.0850285179770548,-0.116410025757027
"african",0.000246101242417956,0.268224540437194,0.598135956226432
"lead",-0.000226121861430523,-0.111350652100219,-0.140811751216269
"massacr",-0.000565509121395893,-0.368657259660254,-0.734602848337487
"intellig",0.0001267309759106,0.120399688476523,0.252863962381206
"import",-0.00013697400681665,-0.0739073878528929,-0.104047546842758
"deni",-0.000195611171622799,-0.0971566759343035,-0.125949012365118
"point",0.000218900149239625,0.136830040286522,0.191690203604744
