"","ld","smd","stlogoddse"
"mr",2.97562131728191e-05,0.100241364514641,0.158870929034455
"human",-2.80260552238151e-05,-0.0406460147127022,-0.111066405665521
"govern",-0.000126809725117618,-0.166634720145113,-0.348508440050379
"unit",-0.00017096280562848,-0.219957398419008,-0.524492956446327
"state",-0.000180170608565742,-0.218435853520387,-0.513410827917579
"year",8.0129854036987e-05,0.0870666425988071,0.0976817385286448
"nation",-0.000101308830020529,-0.110658847328481,-0.286023561759054
"offici",-0.000187740477219171,-0.207002679047951,-0.557926740016662
"report",-0.000228114923921855,-0.264256110137799,-0.791858608551401
"peopl",-0.000175415325841284,-0.162551117567529,-0.378775280578476
"militari",-0.000272946349914466,-0.312915834608541,-1.05358364242151
"war",0.000130533501851297,0.155237574000087,0.29684648959805
"kill",-0.000247470986907063,-0.245773804744302,-0.713821551574189
"presid",-0.000363459755245001,-0.284973736692982,-0.678439755992851
"forc",-0.000360817970662072,-0.279146072823903,-0.70137076238548
"intern",-6.18689063200931e-05,-0.0534251170159699,-0.162045737471177
"group",-0.000283633210191426,-0.219932627652723,-0.544211535596483
"countri",6.44680828674116e-05,0.0568807875723622,0.0748210590145527
"court",0.000286096780199284,0.383529964409261,0.898783148597334
"polit",-0.000375947692804322,-0.277837101411763,-0.743411965842208
"crime",0.000389092525674614,0.400220857138364,0.816330305617636
"prison",-4.2951987797161e-05,-0.0449250398807534,-0.197199687285125
"gener",3.32381866344686e-05,0.0380040336651245,0.0894125835770238
"leader",-0.000324764901693528,-0.201488786338668,-0.551975438307486
"case",0.000275323254722064,0.259524264777439,0.619219413588691
"time",4.1662026380946e-05,0.0255693661846799,0.0121358988621526
"trial",0.000202780916470258,0.222785422947531,0.671079180908695
"offic",-3.85633418498242e-06,-0.00286102958666957,-0.0516810988932983
"charg",0.000295526727623891,0.206558694836881,0.423630535396268
"polic",-1.92184692540406e-05,-0.0172143860264945,-0.104621445574507
"abus",-0.000313998746376943,-0.186313867973556,-0.585816548218148
"law",0.000239026129141882,0.229204730241071,0.6541032023542
"includ",-1.47586203172715e-05,-0.00759123224213142,-0.0594314634994888
"call",-5.86774345556532e-05,-0.0295574537799395,-0.106467322811654
"secur",-0.000437776031268157,-0.239987855772626,-0.764801974417519
"month",-0.00026467201112822,-0.123889544836546,-0.316816174247482
"member",1.34057517675458e-05,0.00769205429374498,-0.0243362210642942
"investig",1.19049841458009e-05,0.00881932815773832,-0.0152949254812929
"today",0.000230110563804106,0.146205674625,0.311604675925542
"china",-0.000192352735235873,-0.215197449072856,-2.119752436563
"tortur",6.05112998590553e-05,0.0452081104585618,0.0977247350587502
"death",-9.94719790640845e-05,-0.0633156645865773,-0.231957004590642
"arrest",0.000139077633710824,0.103034988963932,0.269440182976468
"day",-9.42113735848745e-05,-0.0510017526108315,-0.175403601803665
"X000",-8.06842542008268e-05,-0.0415527244557441,-0.145541202028111
"week",-0.000211949199666171,-0.0944302340189395,-0.253272856265885
"armi",-0.000222203736649131,-0.147855733835735,-0.616152269658
"administr",-0.000423657102917254,-0.250181913394944,-1.09840323691105
"world",0.000211441112956866,0.129377380774907,0.311114949329229
"organ",-0.000164225402015088,-0.083567165181671,-0.2828557048806
"support",-0.000246665077091643,-0.112652924853192,-0.340182451834616
"accus",0.000248594367761783,0.126166791866432,0.259151660681246
"tribun",-1.41690056278204e-06,-0.00119800243846793,-0.0475326921397954
"judg",0.000238273866869078,0.224814123462935,0.813434773865867
"civilian",-0.000408519553612489,-0.214682401754284,-0.879529550677995
"rule",0.000408955413834846,0.267346777710534,0.71056224853944
"power",-0.000312303195161633,-0.136743115124823,-0.438801504630247
"issu",5.69354651753958e-05,0.0253066669676219,0.0220318056369184
"made",-7.00966186742679e-05,-0.0282050099317091,-0.109351268019486
"make",-0.000204478057802103,-0.0826339285271962,-0.251652067456062
"recent",-0.000439111662285167,-0.167492191694642,-0.47801688726775
"critic",-0.000438824497801014,-0.190114775028635,-0.642527623491595
"lawyer",0.000325073954732666,0.243485176469219,0.766292677461415
"work",-2.79036428277275e-06,-0.00144640121756085,-0.0460041576288825
"attack",-0.000382677208225951,-0.189411291843083,-0.767682010829144
"violat",-0.000219148300747952,-0.0842332983301545,-0.252211146354669
