"","YEAR","COUNTRY_CODE","V1"
"1",1980,"ARG",5
"2",1980,"BOL",1
"3",1980,"CHL",1
"4",1980,"COL",1
"5",1980,"ESP",3
"6",1980,"GBR",2
"7",1980,"GTM",1
"8",1980,"HTI",1
"9",1980,"IND",1
"10",1980,"IRL",2
"11",1980,"IRN",3
"12",1980,"KHM",1
"13",1980,"MKD",1
"14",1980,"PRY",1
"15",1980,"SLV",5
"16",1980,"SVU",6
"17",1980,"TGO",1
"18",1980,"TUR",2
"19",1980,"URY",2
"20",1980,"USA",10
"21",1980,NA,9
"22",1981,"AGO",1
"23",1981,"ARG",10
"24",1981,"BOL",2
"25",1981,"CHL",6
"26",1981,"COL",1
"27",1981,"CRI",1
"28",1981,"ESP",3
"29",1981,"FRA",1
"30",1981,"GBR",1
"31",1981,"GTM",5
"32",1981,"IND",2
"33",1981,"IRL",3
"34",1981,"IRN",7
"35",1981,"ISR",2
"36",1981,"KHM",1
"37",1981,"KOR",5
"38",1981,"LBY",1
"39",1981,"MRT",1
"40",1981,"NIC",2
"41",1981,"PHL",2
"42",1981,"POL",3
"43",1981,"SLV",6
"44",1981,"SVU",11
"45",1981,"TUR",5
"46",1981,"UGA",1
"47",1981,"URY",1
"48",1981,"USA",44
"49",1981,NA,3
"50",1982,"ARG",5
"51",1982,"CHL",6
"52",1982,"CHN",1
"53",1982,"COL",1
"54",1982,"CUB",1
"55",1982,"DNK",1
"56",1982,"ESP",1
"57",1982,"ETH",2
"58",1982,"GBR",1
"59",1982,"GIN",2
"60",1982,"GTM",13
"61",1982,"HND",1
"62",1982,"HTI",3
"63",1982,"IDN",3
"64",1982,"IND",2
"65",1982,"ISR",2
"66",1982,"KOR",1
"67",1982,"MAR",1
"68",1982,"NIC",2
"69",1982,"PAK",3
"70",1982,"PHL",4
"71",1982,"POL",6
"72",1982,"PRY",1
"73",1982,"RUS",2
"74",1982,"SLV",12
"75",1982,"SVU",2
"76",1982,"TUR",9
"77",1982,"UGA",1
"78",1982,"USA",18
"79",1982,"VNM",2
"80",1982,"ZAF",2
"81",1982,NA,7
"82",1983,"AFG",1
"83",1983,"ARG",7
"84",1983,"ARM",1
"85",1983,"BOL",2
"86",1983,"CHL",4
"87",1983,"CHN",1
"88",1983,"DEU",1
"89",1983,"EGY",1
"90",1983,"ESP",4
"91",1983,"FRA",8
"92",1983,"GBR",1
"93",1983,"GRD",1
"94",1983,"GTM",5
"95",1983,"HTI",1
"96",1983,"IDN",1
"97",1983,"IRL",1
"98",1983,"IRN",1
"99",1983,"ISR",2
"100",1983,"LBN",1
"101",1983,"LKA",1
"102",1983,"MRT",1
"103",1983,"NIC",6
"104",1983,"PHL",3
"105",1983,"POL",4
"106",1983,"ROU",1
"107",1983,"SLV",16
"108",1983,"SVU",10
"109",1983,"SYR",1
"110",1983,"TUR",2
"111",1983,"USA",22
"112",1983,"VNM",1
"113",1983,"ZWE",1
"114",1983,NA,4
"115",1984,"ARG",13
"116",1984,"BRA",2
"117",1984,"CHL",3
"118",1984,"CHN",1
"119",1984,"CMR",1
"120",1984,"CUB",1
"121",1984,"GAB",1
"122",1984,"GIN",2
"123",1984,"GTM",2
"124",1984,"HND",1
"125",1984,"HTI",1
"126",1984,"IDN",2
"127",1984,"IRN",3
"128",1984,"IRQ",1
"129",1984,"ISR",1
"130",1984,"KHM",1
"131",1984,"LBN",1
"132",1984,"LBY",1
"133",1984,"MKD",1
"134",1984,"NIC",7
"135",1984,"OMN",1
"136",1984,"PER",4
"137",1984,"PHL",1
"138",1984,"POL",2
"139",1984,"SLV",33
"140",1984,"SVU",4
"141",1984,"TCD",1
"142",1984,"TUR",5
"143",1984,"UGA",6
"144",1984,"URY",1
"145",1984,"USA",31
"146",1984,"VNM",2
"147",1984,"ZAF",1
"148",1984,NA,2
"149",1985,"AFG",4
"150",1985,"ARG",8
"151",1985,"ARM",1
"152",1985,"BEL",1
"153",1985,"BRA",1
"154",1985,"CHL",6
"155",1985,"CHN",1
"156",1985,"CRI",2
"157",1985,"CUB",1
"158",1985,"DEU",1
"159",1985,"FIN",1
"160",1985,"FRA",2
"161",1985,"GBR",3
"162",1985,"GTM",11
"163",1985,"HND",1
"164",1985,"HTI",3
"165",1985,"IDN",2
"166",1985,"IND",1
"167",1985,"IRN",4
"168",1985,"ISR",2
"169",1985,"ITA",1
"170",1985,"KHM",1
"171",1985,"KOR",1
"172",1985,"LBR",2
"173",1985,"NIC",14
"174",1985,"PER",2
"175",1985,"PHL",4
"176",1985,"SLV",6
"177",1985,"SVU",15
"178",1985,"THA",1
"179",1985,"TUR",3
"180",1985,"UGA",3
"181",1985,"USA",30
"182",1985,"VNM",1
"183",1985,"ZAF",10
"184",1985,"ZWE",1
"185",1985,NA,6
"186",1986,"AFG",3
"187",1986,"ARG",6
"188",1986,"AUT",1
"189",1986,"CHL",13
"190",1986,"COD",1
"191",1986,"COL",4
"192",1986,"CUB",1
"193",1986,"DEU",1
"194",1986,"FRA",1
"195",1986,"GTM",3
"196",1986,"HRV",1
"197",1986,"HTI",7
"198",1986,"IDN",2
"199",1986,"IRN",4
"200",1986,"IRQ",1
"201",1986,"ISL",1
"202",1986,"ISR",4
"203",1986,"ITA",1
"204",1986,"KOR",3
"205",1986,"LBN",1
"206",1986,"LBR",2
"207",1986,"LBY",2
"208",1986,"LKA",5
"209",1986,"MAR",1
"210",1986,"MEX",1
"211",1986,"NIC",8
"212",1986,"PHL",4
"213",1986,"POL",2
"214",1986,"ROU",3
"215",1986,"RUS",1
"216",1986,"SLV",4
"217",1986,"SUR",1
"218",1986,"SVU",7
"219",1986,"UGA",1
"220",1986,"URY",4
"221",1986,"USA",18
"222",1986,"VNM",1
"223",1986,"ZAF",16
"224",1986,"ZWE",3
"225",1986,NA,5
"226",1987,"AFG",1
"227",1987,"ARG",8
"228",1987,"BDI",2
"229",1987,"BRA",1
"230",1987,"CHL",4
"231",1987,"CHN",5
"232",1987,"CUB",3
"233",1987,"DEU",1
"234",1987,"FRA",18
"235",1987,"GTM",2
"236",1987,"HND",1
"237",1987,"HTI",3
"238",1987,"HUN",1
"239",1987,"IND",1
"240",1987,"IRN",4
"241",1987,"ISR",4
"242",1987,"KEN",7
"243",1987,"KHM",3
"244",1987,"KOR",5
"245",1987,"MEX",2
"246",1987,"MKD",1
"247",1987,"NIC",7
"248",1987,"OMN",1
"249",1987,"PAN",1
"250",1987,"PER",1
"251",1987,"PHL",2
"252",1987,"PRY",1
"253",1987,"ROU",3
"254",1987,"RUS",4
"255",1987,"SLV",11
"256",1987,"SUR",1
"257",1987,"SVK",1
"258",1987,"SVU",17
"259",1987,"SYR",1
"260",1987,"TUN",1
"261",1987,"TUR",2
"262",1987,"URY",1
"263",1987,"USA",19
"264",1987,"YEM",1
"265",1987,NA,3
"266",1988,"ARG",4
"267",1988,"BDI",1
"268",1988,"BRA",3
"269",1988,"CAN",1
"270",1988,"CHE",1
"271",1988,"CHL",4
"272",1988,"CHN",3
"273",1988,"COD",3
"274",1988,"COL",2
"275",1988,"CUB",8
"276",1988,"ECU",1
"277",1988,"ETH",1
"278",1988,"FJI",1
"279",1988,"FRA",3
"280",1988,"GBR",9
"281",1988,"GTM",4
"282",1988,"HND",2
"283",1988,"HTI",2
"284",1988,"IDN",1
"285",1988,"IND",3
"286",1988,"IRN",4
"287",1988,"IRQ",2
"288",1988,"ISR",8
"289",1988,"KHM",2
"290",1988,"KOR",9
"291",1988,"LBR",2
"292",1988,"MKD",1
"293",1988,"MMR",1
"294",1988,"NIC",1
"295",1988,"OMN",2
"296",1988,"PAK",1
"297",1988,"PAN",3
"298",1988,"PER",1
"299",1988,"PHL",3
"300",1988,"PRY",1
