"","COUNTRY_CODE","V1"
"1","AFG",96
"2","AGO",8
"3","ALB",6
"4","ARE",2
"5","ARG",132
"6","ARM",18
"7","AUS",7
"8","AUT",10
"9","AZE",1
"10","BDI",6
"11","BEL",11
"12","BGD",2
"13","BHR",2
"14","BIH",156
"15","BLR",7
"16","BOL",13
"17","BRA",41
"18","BTN",1
"19","CAN",11
"20","CHE",13
"21","CHL",178
"22","CHN",377
"23","CIV",1
"24","CMR",2
"25","COD",53
"26","COL",120
"27","CRI",4
"28","CUB",70
"29","DEU",30
"30","DJI",1
"31","DMA",1
"32","DNK",3
"33","DZA",23
"34","ECU",2
"35","EGY",30
"36","ERI",1
"37","ESP",55
"38","EST",1
"39","ETH",24
"40","FIN",2
"41","FJI",1
"42","FRA",107
"43","GAB",1
"44","GBR",99
"45","GEO",4
"46","GHA",2
"47","GIN",8
"48","GMB",2
"49","GRC",6
"50","GRD",1
"51","GTM",143
"52","HND",26
"53","HRV",30
"54","HTI",92
"55","HUN",4
"56","IDN",129
"57","IND",65
"58","IRL",16
"59","IRN",118
"60","IRQ",418
"61","ISL",1
"62","ISR",203
"63","ITA",13
"64","JAM",4
"65","JOR",7
"66","JPN",40
"67","KAZ",2
"68","KEN",24
"69","KHM",109
"70","KOR",61
"71","KWT",16
"72","LAO",1
"73","LBN",11
"74","LBR",58
"75","LBY",18
"76","LKA",44
"77","LSO",1
"78","LTU",4
"79","LVA",1
"80","MAC",3
"81","MAR",11
"82","MEX",105
"83","MKD",311
"84","MLI",5
"85","MMR",63
"86","MNE",1
"87","MRT",4
"88","MWI",2
"89","MYS",6
"90","NAM",1
"91","NER",1
"92","NGA",42
"93","NIC",53
"94","NLD",56
"95","NOR",1
"96","NPL",8
"97","OMN",13
"98","PAK",24
"99","PAN",10
"100","PER",95
"101","PHL",40
"102","PNG",1
"103","POL",22
"104","PRY",8
"105","ROU",19
"106","RUS",146
"107","RWA",187
"108","SAU",20
"109","SDN",298
"110","SEN",5
"111","SGP",5
"112","SLB",1
"113","SLE",24
"114","SLV",176
"115","SOM",9
"116","SRB",80
"117","SUR",4
"118","SVK",4
"119","SVN",2
"120","SVU",104
"121","SWE",3
"122","SYR",15
"123","TCD",10
"124","TGO",1
"125","THA",14
"126","TUN",5
"127","TUR",131
"128","TWN",1
"129","TZA",1
"130","UGA",34
"131","UKR",3
"132","URY",13
"133","USA",1236
"134","UZB",37
"135","VEN",9
"136","VNM",20
"137","YEM",4
"138","YUG",147
"139","ZAF",77
"140","ZMB",1
"141","ZWE",46
"142",NA,319
