"","YEAR","REGION","V1"
"1",1980,"Africa",1
"2",1980,"Asia",2
"3",1980,"EECA",7
"4",1980,"LA",18
"5",1980,"MENA",5
"6",1980,"West",7
"7",1980,NA,9
"8",1981,"Africa",3
"9",1981,"Asia",10
"10",1981,"EECA",14
"11",1981,"LA",34
"12",1981,"MENA",15
"13",1981,"West",8
"14",1981,NA,3
"15",1982,"Africa",7
"16",1982,"Asia",16
"17",1982,"EECA",10
"18",1982,"LA",45
"19",1982,"MENA",12
"20",1982,"West",3
"21",1982,NA,7
"22",1983,"Africa",2
"23",1983,"Asia",7
"24",1983,"EECA",16
"25",1983,"LA",42
"26",1983,"MENA",9
"27",1983,"West",15
"28",1983,NA,4
"29",1984,"Africa",12
"30",1984,"Asia",7
"31",1984,"EECA",7
"32",1984,"LA",68
"33",1984,"MENA",13
"34",1984,NA,2
"35",1985,"Africa",16
"36",1985,"Asia",12
"37",1985,"EECA",16
"38",1985,"LA",55
"39",1985,"MENA",13
"40",1985,"West",9
"41",1985,NA,6
"42",1986,"Africa",23
"43",1986,"Asia",15
"44",1986,"EECA",14
"45",1986,"LA",52
"46",1986,"MENA",16
"47",1986,"West",5
"48",1986,NA,5
"49",1987,"Africa",9
"50",1987,"Asia",16
"51",1987,"EECA",27
"52",1987,"LA",47
"53",1987,"MENA",15
"54",1987,"West",19
"55",1987,NA,3
"56",1988,"Africa",12
"57",1988,"Asia",24
"58",1988,"EECA",15
"59",1988,"LA",43
"60",1988,"MENA",18
"61",1988,"West",14
"62",1988,NA,2
"63",1989,"Africa",13
"64",1989,"Asia",29
"65",1989,"EECA",16
"66",1989,"LA",47
"67",1989,"MENA",25
"68",1989,"West",4
"69",1989,NA,44
"70",1990,"Africa",11
"71",1990,"Asia",29
"72",1990,"EECA",11
"73",1990,"LA",39
"74",1990,"MENA",28
"75",1990,"West",2
"76",1990,NA,49
"77",1991,"Africa",11
"78",1991,"Asia",24
"79",1991,"EECA",6
"80",1991,"LA",34
"81",1991,"MENA",24
"82",1991,"West",6
"83",1991,NA,2
"84",1992,"Africa",4
"85",1992,"Asia",41
"86",1992,"EECA",36
"87",1992,"LA",26
"88",1992,"MENA",37
"89",1992,"West",15
"90",1992,NA,4
"91",1993,"Africa",6
"92",1993,"Asia",41
"93",1993,"EECA",46
"94",1993,"LA",47
"95",1993,"MENA",18
"96",1993,"West",12
"97",1993,NA,3
"98",1994,"Africa",39
"99",1994,"Asia",48
"100",1994,"EECA",25
"101",1994,"LA",45
"102",1994,"MENA",20
"103",1994,"West",12
"104",1994,NA,2
"105",1995,"Africa",21
"106",1995,"Asia",50
"107",1995,"EECA",34
"108",1995,"LA",43
"109",1995,"MENA",25
"110",1995,"West",12
"111",1995,NA,3
"112",1996,"Africa",25
"113",1996,"Asia",42
"114",1996,"EECA",45
"115",1996,"LA",41
"116",1996,"MENA",20
"117",1996,"West",9
"118",1996,NA,2
"119",1997,"Africa",34
"120",1997,"Asia",46
"121",1997,"EECA",19
"122",1997,"LA",27
"123",1997,"MENA",30
"124",1997,"West",13
"125",1997,NA,5
"126",1998,"Africa",27
"127",1998,"Asia",46
"128",1998,"EECA",33
"129",1998,"LA",47
"130",1998,"MENA",26
"131",1998,"West",18
"132",1998,NA,12
"133",1999,"Africa",16
"134",1999,"Asia",39
"135",1999,"EECA",102
"136",1999,"LA",38
"137",1999,"MENA",22
"138",1999,"West",17
"139",1999,NA,11
"140",2000,"Africa",19
"141",2000,"Asia",44
"142",2000,"EECA",59
"143",2000,"LA",85
"144",2000,"MENA",24
"145",2000,"West",20
"146",2000,NA,16
"147",2001,"Africa",17
"148",2001,"Asia",43
"149",2001,"EECA",76
"150",2001,"LA",51
"151",2001,"MENA",39
"152",2001,"West",24
"153",2001,NA,6
"154",2002,"Africa",24
"155",2002,"Asia",53
"156",2002,"EECA",49
"157",2002,"LA",52
"158",2002,"MENA",38
"159",2002,"West",21
"160",2002,NA,8
"161",2003,"Africa",52
"162",2003,"Asia",37
"163",2003,"EECA",73
"164",2003,"LA",64
"165",2003,"MENA",88
"166",2003,"West",29
"167",2003,NA,6
"168",2004,"Africa",38
"169",2004,"Asia",32
"170",2004,"EECA",88
"171",2004,"LA",48
"172",2004,"MENA",227
"173",2004,"West",24
"174",2004,NA,9
"175",2005,"Africa",23
"176",2005,"Asia",38
"177",2005,"EECA",81
"178",2005,"LA",41
"179",2005,"MENA",126
"180",2005,"West",25
"181",2005,NA,8
"182",2006,"Africa",51
"183",2006,"Asia",46
"184",2006,"EECA",76
"185",2006,"LA",33
"186",2006,"MENA",182
"187",2006,"West",27
"188",2006,NA,10
"189",2007,"Africa",23
"190",2007,"Asia",43
"191",2007,"EECA",30
"192",2007,"LA",23
"193",2007,"MENA",98
"194",2007,"West",18
"195",2007,NA,6
"196",2008,"Africa",28
"197",2008,"Asia",26
"198",2008,"EECA",21
"199",2008,"LA",20
"200",2008,"MENA",43
"201",2008,"West",18
"202",2008,NA,3
"203",2009,"Africa",26
"204",2009,"Asia",53
"205",2009,"EECA",31
"206",2009,"LA",15
"207",2009,"MENA",62
"208",2009,"West",13
"209",2009,NA,2
"210",2010,"Africa",26
"211",2010,"Asia",35
"212",2010,"EECA",16
"213",2010,"LA",18
"214",2010,"MENA",33
"215",2010,"West",14
"216",2010,NA,3
