"","V1"
"HUMAN RIGHTS VIOLATIONS",460
"HUMAN RIGHTS",246
"WAR CRIMES",238
"WAR & CONFLICT",200
"ETHNIC CONFLICTS",174
"GENOCIDE",158
"INTERNATIONAL RELATIONS",144
"UNITED NATIONS INSTITUTIONS",143
"INTERNATIONAL COURTS & TRIBUNALS",133
"CRIMES AGAINST HUMANITY",117
"HUMAN RIGHTS ORGANIZATIONS",112
"INVESTIGATIONS",85
"REBELLIONS & INSURGENCIES",80
"INTERNATIONAL LAW",77
"CIVIL WAR",63
"TORTURE",61
"LAW COURTS & TRIBUNALS",58
"ARMED FORCES",57
"POLITICS",56
"JUSTICE DEPARTMENTS",54
"MILITARY & VETERANS LAW",54
"EDITORIALS & OPINIONS",52
"ARRESTS",49
"HEADS OF STATE & GOVERNMENT",49
"LETTERS & COMMENTS",49
"ARMIES",43
"PARAMILITARY & MILITIA",43
"REFUGEES",39
"CRIMINAL CONVICTIONS",38
"INDICTMENTS",38
"CRIMINAL OFFENSES",37
"RELIGION",37
"CHRISTIANS & CHRISTIANITY",35
"ELECTIONS",35
"LITIGATION",35
"PEACEKEEPING",33
"SENTENCING",32
"SEXUAL ASSAULT",30
"EXTRADITION",29
"JAIL SENTENCING",29
"INTERNATIONAL ASSISTANCE",28
"LEGISLATIVE BODIES",28
"LAWYERS",24
"FALSE IMPRISONMENT",22
"PRISONS",22
"CATHOLICS & CATHOLICISM",21
"STATE DEPARTMENTS & FOREIGN SERVICES",21
"CAMPAIGNS & ELECTIONS",20
"CLERGY & RELIGIOUS",20
"LAW ENFORCEMENT",20
