"","V1"
"HUMAN RIGHTS VIOLATIONS",535
"HUMAN RIGHTS",523
"HUMAN RIGHTS ORGANIZATIONS",228
"INTERNATIONAL RELATIONS",227
"UNITED NATIONS INSTITUTIONS",134
"EDITORIALS & OPINIONS",129
"WAR & CONFLICT",121
"WAR CRIMES",118
"TORTURE",102
"GENOCIDE",96
"LETTERS & COMMENTS",90
"STATE DEPARTMENTS & FOREIGN SERVICES",90
"US PRESIDENTS",87
"INVESTIGATIONS",80
"HEADS OF STATE & GOVERNMENT",71
"JAIL SENTENCING",71
"POLITICS",69
"RELIGION",68
"LEGISLATIVE BODIES",66
"REBELLIONS & INSURGENCIES",65
"ARMIES",63
"TALKS & MEETINGS",60
"PRISONS",56
"SENTENCING",56
"ARMED FORCES",55
"PROTESTS & DEMONSTRATIONS",54
"SEPARATISM & SECESSION",54
"MUSLIMS & ISLAM",50
"TERRORISM",49
"MILITARY WEAPONS",48
"ARRESTS",46
"ETHNIC CONFLICTS",46
"FREEDOM AND HUMAN RIGHTS  HUMAN RIGHTS",43
"LAW COURTS & TRIBUNALS",43
"CRIMES AGAINST HUMANITY",42
"TERRORIST ORGANIZATIONS",41
"INTERNATIONAL TRADE",38
"POLITICAL PARTIES",37
"PRIME MINISTERS",35
"CHRISTIANS & CHRISTIANITY",34
"CRIMINAL CONVICTIONS",32
"INTERNATIONAL LAW",32
"US FEDERAL GOVERNMENT",32
"INTERNATIONAL COURTS & TRIBUNALS",31
"INTERVIEWS",30
"EMBARGOES & SANCTIONS",28
"FOREIGN RELATIONS",28
"LAWYERS",28
"WORLD WAR II",28
"LAW ENFORCEMENT",27
