"","V1"
"HUMAN RIGHTS VIOLATIONS",680
"WAR CRIMES",477
"WAR & CONFLICT",405
"ETHNIC CONFLICTS",392
"HUMAN RIGHTS",296
"INTERNATIONAL COURTS & TRIBUNALS",282
"UNITED NATIONS INSTITUTIONS",251
"INTERNATIONAL RELATIONS",242
"GENOCIDE",239
"CRIMES AGAINST HUMANITY",201
"MILITARY & VETERANS LAW",149
"LAW COURTS & TRIBUNALS",146
"INDICTMENTS",134
"INVESTIGATIONS",133
"HUMAN RIGHTS ORGANIZATIONS",104
"ARMED FORCES",103
"JUSTICE DEPARTMENTS",103
"RELIGION",102
"INTERNATIONAL LAW",98
"EDITORIALS & OPINIONS",91
"MUSLIMS & ISLAM",89
"TORTURE",77
"ARRESTS",76
"REBELLIONS & INSURGENCIES",75
"LETTERS & COMMENTS",73
"JAIL SENTENCING",72
"STATE DEPARTMENTS & FOREIGN SERVICES",63
"ARMIES",60
"SENTENCING",60
"US PRESIDENTS",58
"CRIMINAL OFFENSES",57
"HEADS OF STATE & GOVERNMENT",55
"LEGISLATIVE BODIES",53
"TALKS & MEETINGS",51
"POLITICS",49
"LITIGATION",48
"REFUGEES",47
"EXTRADITION",44
"PRISONS",44
"MILITARY WEAPONS",43
"PEACEKEEPING",43
"WITNESSES",43
"CRIMINAL CONVICTIONS",41
"LAWYERS",41
"PRIME MINISTERS",37
"SEPARATISM & SECESSION",36
"TERRORISM",36
"TESTIMONY",36
"PARAMILITARY & MILITIA",35
"BOMBINGS",34
