"","V1"
"HUMAN RIGHTS VIOLATIONS",830
"HUMAN RIGHTS",759
"HUMAN RIGHTS ORGANIZATIONS",279
"TORTURE",258
"WAR & CONFLICT",248
"INVESTIGATIONS",236
"ARMIES",234
"INTERNATIONAL RELATIONS",209
"REBELLIONS & INSURGENCIES",204
"ARMED FORCES",166
"POLITICS",144
"HEADS OF STATE & GOVERNMENT",135
"US PRESIDENTS",132
"EDITORIALS & OPINIONS",126
"LIBERALISM",104
"INTERNATIONAL ASSISTANCE",98
"LETTERS & COMMENTS",93
"STATE DEPARTMENTS & FOREIGN SERVICES",92
"WAR CRIMES",92
"CIVIL WAR",89
"MILITARY WEAPONS",89
"MURDER",89
"UNITED NATIONS INSTITUTIONS",88
"LAW COURTS & TRIBUNALS",87
"LEGISLATIVE BODIES",83
"KIDNAPPING & ABDUCTION",76
"JAIL SENTENCING",72
"LAW ENFORCEMENT",68
"ARRESTS",67
"PRISONS",67
"LITIGATION",66
"PARAMILITARY & MILITIA",66
"TERRORISM",65
"COUPS",63
"TERRORIST ORGANIZATIONS",61
"CONTROLLED SUBSTANCES CRIME",60
"JUSTICE DEPARTMENTS",60
"CHRISTIANS & CHRISTIANITY",55
"ELECTIONS",55
"EXTRADITION",55
"TALKS & MEETINGS",54
"CRIMINAL CONVICTIONS",50
"CAMPAIGNS & ELECTIONS",49
"CRIMES AGAINST HUMANITY",49
"CRIMINAL OFFENSES",48
"DECISIONS & RULINGS",48
"EMBASSIES & CONSULATES",48
"MILITARY & VETERANS LAW",48
"POLICE FORCES",46
"INTELLIGENCE SERVICES",43
