"","V1"
"HUMAN RIGHTS VIOLATIONS",1004
"HUMAN RIGHTS",557
"WAR CRIMES",447
"HUMAN RIGHTS ORGANIZATIONS",292
"INTERNATIONAL RELATIONS",292
"EDITORIALS & OPINIONS",264
"TERRORISM",233
"LETTERS & COMMENTS",227
"TORTURE",209
"WAR & CONFLICT",202
"CRIMES AGAINST HUMANITY",201
"INVESTIGATIONS",201
"LEGISLATIVE BODIES",188
"UNITED NATIONS INSTITUTIONS",187
"INTERNATIONAL COURTS & TRIBUNALS",175
"INTERNATIONAL LAW",174
"LAW COURTS & TRIBUNALS",165
"US PRESIDENTS",163
"LITIGATION",153
"GENOCIDE",146
"US FEDERAL GOVERNMENT",144
"ETHNIC CONFLICTS",142
"MILITARY & VETERANS LAW",142
"MILITARY WEAPONS",119
"PRISONS",116
"ARMED FORCES",115
"JUSTICE DEPARTMENTS",112
"SLAVERY",111
"LAW ENFORCEMENT",109
"DECISIONS & RULINGS",99
"LAWYERS",94
"TERRORIST ORGANIZATIONS",87
"CRIMINAL CONVICTIONS",85
"CRIMINAL OFFENSES",84
"HEADS OF STATE & GOVERNMENT",83
"STATE DEPARTMENTS & FOREIGN SERVICES",82
"JAIL SENTENCING",81
"RELIGION",81
"SETTLEMENTS & DECISIONS",80
"LEGISLATION",74
"TREATIES & AGREEMENTS",74
"ARMIES",71
"POLITICAL PARTIES",66
"SENTENCING",65
"RACE & RACISM",64
"US REPUBLICAN PARTY",62
"NEWS BRIEFS",61
"FOREIGN RELATIONS",59
"JEWS & JUDAISM",59
"WORLD WAR II",59
